ig_media_id,data,tipo,tema,status,motivo,alvo,engajamento,curtidas,comentarios,legenda,permalink
17998890439773254,2023-04-21,REELS,Saúde,removido,fora de 2025-2026,,141,136,5,Investir em saúde é investir na população! 🏥 Fazer parte desse moment,https://www.instagram.com/reel/CrUFtc1u9HJ/
18047650903870080,2024-08-05,REELS,Saúde,removido,fora de 2025-2026,,140,123,17,"EXAMES EM FARMÁCIAS SANCIONADO! ✅ 🔬📋 A Lei N° 19.011, que permite a ",https://www.instagram.com/reel/C-SynpCuRnO/
18385126168036465,2023-09-27,REELS,Institucional / Agenda,removido,fora de 2025-2026,,139,131,8,➡️ Você sabia que um doador de órgãos e tecidos pode salvar até dez vi,https://www.instagram.com/reel/CxtfajxucWO/
18008836565608326,2025-07-26,FEED,Institucional / Agenda,avaliar,sem regra (revisar),Gravatal,138,135,3,"O trabalho não para! 🚀 Reunião importante do partido em Gravatal, reu",https://www.instagram.com/p/DMln7PPJmeG/
18056056433036335,2025-06-06,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,138,127,11,Trabalhando por SC porque nossas cidades merecem! 👊,https://www.instagram.com/p/DKkXSXCOWh7/
18423945031110492,2025-11-01,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,137,135,2,"Quando temos apoio, a caminhada fica mais fácil. E o que falar desse t",https://www.instagram.com/p/DQhVkILAJkT/
18209123872306993,2025-05-23,REELS,Institucional / Agenda,avaliar,sem regra (revisar),,137,132,5,Boa notícia chegando pra Antônio Carlos! 🤭 R$350 mil garantidos para ,https://www.instagram.com/reel/DKALTQwO44g/
17893385039910966,2023-10-11,REELS,Saúde,removido,fora de 2025-2026,,137,118,19,"OUTUBRO ROSA É PREVENÇÃO! 💗 Mulheres, façam seus exames!🙌",https://www.instagram.com/reel/CyRgl_hOgK4/
18178191868254512,2023-02-15,FEED,Institucional / Agenda,removido,fora de 2025-2026,,137,123,14,COMISSÕES PERMANENTES DEFINIDAS ✅ Essas que expliquei um pouco serão a,https://www.instagram.com/p/CoszPUUOLdc/
18165286774346533,2025-06-12,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,136,134,2,E hoje é dia dos namorados. Então lá vai uma fotinho com minha companh,https://www.instagram.com/p/DK0ESEEptCT/
18443010643037782,2024-07-11,REELS,Obras e Entregas,removido,fora de 2025-2026,,136,112,24,PROJETO DRAGAGEM ✅ 🌊🚢 Hoje damos um passo importante para a seguranç,https://www.instagram.com/reel/C9S8USuPyjo/
18049952635634855,2024-05-22,FEED,Saúde,removido,fora de 2025-2026,,136,131,5,UNIDOS PELO COMBATE AO CÂNCER🌸 Na Rede Feminina de Combate ao Câncer ,https://www.instagram.com/p/C7SNaN7JMPc/
17915272040727375,2023-05-03,REELS,Institucional / Agenda,removido,fora de 2025-2026,,136,126,10,"Uma homenagem simples, mas de coração ao Lar da Menina de Tubarão! 👏 ",https://www.instagram.com/reel/Cry81W5udwB/
18095148865659818,2025-09-14,REELS,Obras e Entregas,aprovado,obra/entrega (direcionar p/ cidade),cidade da obra,135,127,8,🚧 MAIS UMA RUA ASFALTADA! 🛣️ Hoje é dia de comemorar: a pavimentação,https://www.instagram.com/reel/DOluzWuAPl3/
18103987951915347,2026-04-03,FEED,Institucional / Agenda,avaliar,sem regra (revisar),,134,127,7,RECONHECIMENTO QUE NOS MOVE 💙 Recebi com muita gratidão uma moção de ,https://www.instagram.com/p/DWrzXfMAS8D/
18094544249017782,2026-04-01,REELS,Autismo / TEA,aprovado,TEA/autismo (fica todos),Público autismo / SC,134,105,29,"INVESTIMENTO QUE TRANSFORMA 🧩 No mês do Abril Azul, reforçamos uma pa",https://www.instagram.com/reel/DWlyjIAgJDv/
