ig_media_id,data,tipo,tema,conexao_pontual,curtidas,comentarios,engajamento,legenda,permalink
18030129536613173,2024-12-29,REELS,Institucional,,252,28,280,2025 tá chegando com tudo!!! 🚀,https://www.instagram.com/reel/DELPSTiSwrq/
17988664111711316,2023-02-14,FEED,Educacao,,210,69,279,Universidade para Todos é o assunto da nossa tribuna hoje! ✅ Ficamos f,https://www.instagram.com/tv/Cop2GjToxSh/
18081055358041453,2026-03-02,REELS,Institucional,,254,24,278,"ASSISTA ATÉ O FINAL, é tudo que eu peço! 😉 Começamos a semana com uma",https://www.instagram.com/reel/DVY9JopAHO2/
17849816700657322,2026-01-16,REELS,Obras/Entregas,,241,36,277,AQUI NÃO PARA e o ASFALTO CHEGOU! 🚧🔥 O cheirinho de asfalto novo que,https://www.instagram.com/reel/DTleyCLgepb/
18056753047784742,2025-01-02,FEED,Institucional,sim,269,8,277,"Parabéns, meu irmão @henriquecastropp11! 🎉 Você merece todo esse suce",https://www.instagram.com/p/DEUr-rrOQqG/
18026979665380794,2025-03-10,REELS,Autismo/TEA,,226,50,276,MANDE SUA IDEIA EM DEFESA DO AUTISMO! 🧩 Conheça nossas ações: Censo d,https://www.instagram.com/reel/DHBrCX9OzTu/
17967141944218806,2023-02-23,REELS,Institucional,,261,14,275,"O dia é corrido e a gente gosta! 👊🏼 Começou cedo, plenário, atendime",https://www.instagram.com/reel/CpBdcYNDu_I/
17977673156825554,2026-03-08,FEED,Institucional,sim,263,11,274,FELIZ DIA DAS MULHERES 🌷 Hoje é dia de celebrar todas as mulheres. E ,https://www.instagram.com/p/DVn6sU8gL36/
18073340579277890,2025-09-09,REELS,Institucional,,258,16,274,"🎶 PATRIMÔNIO VIVO, ORGULHO CATARINENSE! Você sabia que a Banda União ",https://www.instagram.com/reel/DOZY3xQgKiq/
17895206726714853,2023-03-24,REELS,Institucional,,240,32,272,É sobre a força do Povo de Tubarão! 👊🏼 Só quem já passou por enchent,https://www.instagram.com/reel/CqLx07xDEbE/
17865452462887330,2023-03-10,REELS,Institucional,,235,37,272,"Já que vocês comentaram, fiz a parte 2! E, quero saber o que acha de u",https://www.instagram.com/reel/CpnWl4vDCco/
18063255239177068,2025-06-27,REELS,Obras/Entregas,,255,16,271,"PARCERIA QUE GERA DESENVOLVIMENTO! 💪 A nova ponte no bairro Represa, ",https://www.instagram.com/reel/DLarROQJIpa/
